what,kind,bundleId,bundleVersion,description,time
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933118517
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933118531
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933118535
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933118539
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933118542
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933118547
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933118551
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933118554
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933118558
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933118562
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933118566
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933118570
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.overrides.rcp.OverrideCompletionSessionProcessor’ failed with exception.",1466933121845
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121849
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121852
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121856
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121872
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121876
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121880
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121883
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121887
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121890
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121894
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121898
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121912
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121916
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121920
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933121923
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.saveAll",1466933138592
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933140051
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933142553
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933169022
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933169038
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933171836
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933176012
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1466933176056
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933236151
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933242465
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933242481
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933242578
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466933243702
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933245465
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933246321
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466933246384
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933246410
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933246509
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466933246560
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.overrides.rcp.OverrideCompletionSessionProcessor’ failed with exception.",1466933248913
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933248915
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1466933248941
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.overrides.rcp.OverrideCompletionSessionProcessor’ failed with exception.",1466933251229
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933251233
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.overrides.rcp.OverrideCompletionSessionProcessor’ failed with exception.",1466933258158
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933258162
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933258180
error,log,,,"Session processor ‘class org.eclipse.recommenders.internal.calls.rcp.CallCompletionSessionProcessor’ failed with exception.",1466933258195
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.text.contentAssist.proposals",1466933258251
error,log,,,"Unhandled event loop exception",1466933259743
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.copy",1466933269732
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.paste",1466933272878
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.saveAll",1466933275021
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933284877
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933284894
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933287229
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933310661
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1466933310709
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466933322867
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933335373
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933348773
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1466933349011
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466933377292
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933378576
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933382365
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933383702
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933385096
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.copy",1466933397487
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.paste",1466933402634
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.copy",1466933410134
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.paste",1466933413923
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.saveAll",1466933434056
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933436133
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933437894
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933448360
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933448384
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933451129
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933509301
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1466933509963
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466933511850
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466933515361
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.refresh",1466933518164
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1466933542730
